OID_COUSUB_22|GEOID_COUSUB_22|NAMELSAD_COUSUB_22|AREALAND_COUSUB_22|AREAWATER_COUSUB_22|MTFCC_COUSUB_22|CLASSFP_COUSUB_22|FUNCSTAT_COUSUB_22|OID_TRACT_22|GEOID_TRACT_22|NAMELSAD_TRACT_22|AREALAND_TRACT_22|AREAWATER_TRACT_22|MTFCC_TRACT_22|FUNCSTAT_TRACT_22|AREALAND_PART|AREAWATER_PART
276901151027358|0911001080|Andover town|40012484|635900|G4040|T1|A|207901151042084|09110528100|Census Tract 5281|40012484|635900|G5020|S|40012484|635900
27690331919326|0911002060|Avon town|59982586|1118863|G4040|T1|A|20790332016465|09110462101|Census Tract 4621.01|10735587|122210|G5020|S|10735587|122210
27690331919326|0911002060|Avon town|59982586|1118863|G4040|T1|A|20790332016474|09110462102|Census Tract 4621.02|11381843|307053|G5020|S|11381843|307053
27690331919326|0911002060|Avon town|59982586|1118863|G4040|T1|A|20790332016485|09110462201|Census Tract 4622.01|22009143|382431|G5020|S|22009143|382431
27690331919326|0911002060|Avon town|59982586|1118863|G4040|T1|A|20790332016496|09110462202|Census Tract 4622.02|15856013|307169|G5020|S|15856013|307169
27690331919327|0911004300|Berlin town|68147323|1744874|G4040|T1|A|2079015504368448|09110400101|Census Tract 4001.01|11374703|168925|G5020|S|11374703|168925
27690331919327|0911004300|Berlin town|68147323|1744874|G4040|T1|A|2079015504368444|09110400102|Census Tract 4001.02|8210788|229073|G5020|S|8210788|229073
27690331919327|0911004300|Berlin town|68147323|1744874|G4040|T1|A|20790332016523|09110400200|Census Tract 4002|32961529|937785|G5020|S|32961529|937785
27690331919327|0911004300|Berlin town|68147323|1744874|G4040|T1|A|20790332016536|09110400300|Census Tract 4003|15600303|409091|G5020|S|15600303|409091
27690331919328|0911005910|Bloomfield town|67562264|430688|G4040|T1|A|20790332016552|09110471100|Census Tract 4711|2734068|0|G5020|S|2734068|0
27690331919328|0911005910|Bloomfield town|67562264|430688|G4040|T1|A|20790332016568|09110471200|Census Tract 4712|5811118|0|G5020|S|5811118|0
27690331919328|0911005910|Bloomfield town|67562264|430688|G4040|T1|A|20790332016579|09110471300|Census Tract 4713|8818468|15251|G5020|S|8818468|15251
27690331919328|0911005910|Bloomfield town|67562264|430688|G4040|T1|A|20790332016591|09110471400|Census Tract 4714|33448052|373023|G5020|S|33448052|373023
27690331919328|0911005910|Bloomfield town|67562264|430688|G4040|T1|A|20790332016602|09110471500|Census Tract 4715|16750558|42414|G5020|S|16750558|42414
276901151027359|0911006260|Bolton town|37314557|766251|G4040|T1|A|207901151042085|09110529100|Census Tract 5291|37314557|766251|G5020|S|37314557|766251
27690331919331|0911012270|Canton town|63676508|1137667|G4040|T1|A|20790332016790|09110464101|Census Tract 4641.01|52828107|50838|G5020|S|52828107|50838
27690331919331|0911012270|Canton town|63676508|1137667|G4040|T1|A|20790332016801|09110464102|Census Tract 4641.02|10848401|1086829|G5020|S|10848401|1086829
276901151027360|0911016400|Columbia town|55355051|1587988|G4040|T1|A|207901151042089|09110860100|Census Tract 8601|55355051|1587988|G5020|S|55355051|1587988
276901151027361|0911017800|Coventry town|97308019|1744460|G4040|T1|A|207901151042090|09110850100|Census Tract 8501|49745926|47320|G5020|S|49745926|47320
276901151027361|0911017800|Coventry town|97308019|1744460|G4040|T1|A|207901151042091|09110850200|Census Tract 8502|47562093|1697140|G5020|S|47562093|1697140
27690331919332|0911022070|East Granby town|45443300|261880|G4040|T1|A|20790332016814|09110470100|Census Tract 4701|43079693|261880|G5020|S|43079693|261880
27690331919332|0911022070|East Granby town|45443300|261880|G4040|T1|A|2079019627621792|09110980001|Census Tract 9800.01|2363607|0|G5020|S|2363607|0
27690331919333|0911022630|East Hartford town|46638315|1904155|G4040|T1|A|20790332016847|09110510100|Census Tract 5101|3245773|507182|G5020|S|3245773|507182
27690331919333|0911022630|East Hartford town|46638315|1904155|G4040|T1|A|20790332016858|09110510200|Census Tract 5102|2904213|309925|G5020|S|2904213|309925
27690331919333|0911022630|East Hartford town|46638315|1904155|G4040|T1|A|20790332016871|09110510300|Census Tract 5103|2388034|0|G5020|S|2388034|0
27690331919333|0911022630|East Hartford town|46638315|1904155|G4040|T1|A|20790332016883|09110510400|Census Tract 5104|2702880|87828|G5020|S|2702880|87828
27690331919333|0911022630|East Hartford town|46638315|1904155|G4040|T1|A|20790332016895|09110510500|Census Tract 5105|3628284|18483|G5020|S|3628284|18483
27690331919333|0911022630|East Hartford town|46638315|1904155|G4040|T1|A|20790332016905|09110510600|Census Tract 5106|7020639|283703|G5020|S|7020639|283703
27690331919333|0911022630|East Hartford town|46638315|1904155|G4040|T1|A|20790332016917|09110510700|Census Tract 5107|3261994|0|G5020|S|3261994|0
27690331919333|0911022630|East Hartford town|46638315|1904155|G4040|T1|A|20790332016930|09110510800|Census Tract 5108|2760820|579025|G5020|S|2760820|579025
27690331919333|0911022630|East Hartford town|46638315|1904155|G4040|T1|A|20790332016941|09110510900|Census Tract 5109|3226464|0|G5020|S|3226464|0
27690331919333|0911022630|East Hartford town|46638315|1904155|G4040|T1|A|20790332016954|09110511000|Census Tract 5110|3361298|0|G5020|S|3361298|0
